30-Enero-2018 => Estacion: Centro;0.79;21.04
31-Enero-2018 => Estacion: Centro;0.83;22.83
01-Enero-2018 => Estacion: Guamani;0.89;0
02-Enero-2018 => Estacion: Guamani;1.31;0
03-Enero-2018 => Estacion: Guamani;1.02;0
04-Enero-2018 => Estacion: Guamani;0.7;0
05-Enero-2018 => Estacion: Guamani;0.93;0
06-Enero-2018 => Estacion: Guamani;1.16;0
07-Enero-2018 => Estacion: Guamani;0.77;0
08-Enero-2018 => Estacion: Guamani;0.84;0
09-Enero-2018 => Estacion: Guamani;0.84;0
10-Enero-2018 => Estacion: Guamani;0.64;0
11-Enero-2018 => Estacion: Guamani;0.59;0
12-Enero-2018 => Estacion: Guamani;0.65;0
13-Enero-2018 => Estacion: Guamani;0.69;0
14-Enero-2018 => Estacion: Guamani;0.54;0
15-Enero-2018 => Estacion: Guamani;0.84;0
16-Enero-2018 => Estacion: Guamani;0.97;0
17-Enero-2018 => Estacion: Guamani;0.81;0
18-Enero-2018 => Estacion: Guamani;0.7;0
19-Enero-2018 => Estacion: Guamani;0.72;0
20-Enero-2018 => Estacion: Guamani;0.67;0
21-Enero-2018 => Estacion: Guamani;0.65;0
22-Enero-2018 => Estacion: Guamani;0.75;0
23-Enero-2018 => Estacion: Guamani;0.62;0
24-Enero-2018 => Estacion: Guamani;0.56;0
25-Enero-2018 => Estacion: Guamani;0.57;0
26-Enero-2018 => Estacion: Guamani;0.71;0
27-Enero-2018 => Estacion: Guamani;0.89;0
28-Enero-2018 => Estacion: Guamani;0.69;0
29-Enero-2018 => Estacion: Guamani;0.67;0
30-Enero-2018 => Estacion: Guamani;0.71;0
31-Enero-2018 => Estacion: Guamani;0.59;0
01-Enero-2018 => Estacion: Los Chillos;0.63;21.17
02-Enero-2018 => Estacion: Los Chillos;0.9;19.67
03-Enero-2018 => Estacion: Los Chillos;0.75;18.2
04-Enero-2018 => Estacion: Los Chillos;0.58;18.21
05-Enero-2018 => Estacion: Los Chillos;0.62;17.95
06-Enero-2018 => Estacion: Los Chillos;0.83;17.65
07-Enero-2018 => Estacion: Los Chillos;0.6;18.27
08-Enero-2018 => Estacion: Los Chillos;0.83;18.25
09-Enero-2018 => Estacion: Los Chillos;0.73;23.93
10-Enero-2018 => Estacion: Los Chillos;0.55;18.85
11-Enero-2018 => Estacion: Los Chillos;0.41;20.07
12-Enero-2018 => Estacion: Los Chillos;0.48;20.38
13-Enero-2018 => Estacion: Los Chillos;0.51;20.6
14-Enero-2018 => Estacion: Los Chillos;0.49;16.31
15-Enero-2018 => Estacion: Los Chillos;0.6;9.54
16-Enero-2018 => Estacion: Los Chillos;0.72;15.75
17-Enero-2018 => Estacion: Los Chillos;0.45;14.9
18-Enero-2018 => Estacion: Los Chillos;0.39;8.33
19-Enero-2018 => Estacion: Los Chillos;0.41;8.49
20-Enero-2018 => Estacion: Los Chillos;0.5;8.55
21-Enero-2018 => Estacion: Los Chillos;0.46;8.47
22-Enero-2018 => Estacion: Los Chillos;0.6;11.08
23-Enero-2018 => Estacion: Los Chillos;0.83;16.53
24-Enero-2018 => Estacion: Los Chillos;0.58;17.41
25-Enero-2018 => Estacion: Los Chillos;0.48;12.18
26-Enero-2018 => Estacion: Los Chillos;0.55;16.97
